Module                  Size  Used by
platform_temperature_control    20480  1 processor_thermal_device
polyval_clmulni        12288  0
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
spi_nor               167936  0
btrtl                  32768  1 btusb
ghash_clmulni_intel    12288  0
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
processor_thermal_soc_slider    16384  1 processor_thermal_device
ttm                   126976  3 drm_ttm_helper,xe,i915
btintel                69632  1 btusb
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
aesni_intel            98304  7
iwlwifi               647168  1 iwlmvm
mtd                    98304  3 spi_nor,cmdlinepart
mei_pxp                16384  0
mei_hdcp               28672  0
videodev              364544  2 videobuf2_v4l2,uvcvideo
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
rapl                   20480  0
processor_thermal_rfim    40960  1 processor_thermal_device
btbcm                  24576  1 btusb
drm_display_helper    290816  2 xe,i915
btmtk                  36864  1 btusb
processor_thermal_rapl    16384  1 processor_thermal_device
intel_rapl_msr         20480  0
bluetooth            1032192  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
msi_wmi                16384  0
msi_wmi_platform       20480  0
wmi_bmof               12288  0
intel_cstate           20480  0
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
cec                    98304  3 drm_display_helper,xe,i915
snd                   143360  29 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_hda_codec_alc269,snd_soc_core,snd_pcm,snd_rawmidi
i2c_i801               36864  0
cfg80211             1462272  3 iwlmvm,iwlwifi,mac80211
processor_thermal_wt_req    12288  1 processor_thermal_device
spi_intel_pci          12288  0
mei_me                 53248  2
i2c_smbus              20480  1 i2c_i801
rc_core                73728  1 cec
processor_thermal_power_floor    12288  2 processor_thermal_device_pci,processor_thermal_device
spi_intel              36864  1 spi_intel_pci
soundcore              16384  2 snd_ctl_led,snd
i2c_mux                12288  1 i2c_i801
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
i2c_algo_bit           16384  2 xe,i915
platform_profile       20480  1 processor_thermal_soc_slider
intel_pmc_core        135168  0
int3403_thermal        16384  0
gpio_keys              20480  0
pmt_telemetry          16384  1 intel_pmc_core
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
pmt_discovery          20480  1 pmt_telemetry
pmt_class              20480  2 pmt_telemetry,pmt_discovery
int3400_thermal        24576  0
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
intel_hid              32768  0
acpi_thermal_rel       24576  1 int3400_thermal
intel_vsec             24576  3 intel_pmc_ssram_telemetry,pmt_telemetry,xe
soc_button_array       20480  0
acpi_tad               20480  0
sparse_keymap          12288  2 intel_hid,msi_wmi
acpi_pad              184320  0
joydev                 32768  0
input_leds             12288  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
usbhid                 77824  0
nvme                   61440  2
nvme_core             233472  3 nvme
nvme_keyring           20480  1 nvme_core
nvme_auth              28672  1 nvme_core
hid_multitouch         36864  0
hid_generic            12288  0
r8169                 139264  0
intel_lpss_pci         28672  0
i2c_hid_acpi           12288  0
psmouse               217088  0
intel_lpss             12288  1 intel_lpss_pci
i2c_hid                40960  1 i2c_hid_acpi
realtek                49152  1
idma64                 20480  0
vmd                    24576  0
hid                   262144  5 i2c_hid,usbhid,hid_multitouch,snd_soc_sdca,hid_generic
video                  77824  3 msi_wmi,xe,i915
pinctrl_tigerlake      28672  3
wmi                    28672  4 video,wmi_bmof,msi_wmi,msi_wmi_platform
